,SalePrice,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,Neighborhood,ExterQual,KitchenQual,BsmtQual,GarageFinish,Foundation,HeatingQC,GarageType,MasVnrType,BsmtFinType1
0,208500,7,1710,2,548,856,856,2,8,2003,CollgCr,Gd,Gd,Gd,RFn,PConc,Ex,Attchd,BrkFace,GLQ
1,181500,6,1262,2,460,1262,1262,2,6,1976,Veenker,TA,TA,Gd,RFn,CBlock,Ex,Attchd,None,ALQ
2,223500,7,1786,2,608,920,920,2,6,2001,CollgCr,Gd,Gd,Gd,RFn,PConc,Ex,Attchd,BrkFace,GLQ
3,140000,7,1717,3,642,756,961,1,7,1915,Crawfor,TA,Gd,TA,Unf,BrkTil,Gd,Detchd,None,ALQ
4,250000,8,2198,3,836,1145,1145,2,9,2000,NoRidge,Gd,Gd,Gd,RFn,PConc,Ex,Attchd,BrkFace,GLQ
5,143000,5,1362,2,480,796,796,1,5,1993,Mitchel,TA,TA,Gd,Unf,Wood,Ex,Attchd,None,GLQ
6,307000,8,1694,2,636,1686,1694,2,7,2004,Somerst,Gd,Gd,Ex,RFn,PConc,Ex,Attchd,Stone,GLQ
7,200000,7,2090,2,484,1107,1107,2,7,1973,NWAmes,TA,TA,Gd,RFn,CBlock,Ex,Attchd,Stone,ALQ
8,129900,7,1774,2,468,952,1022,2,8,1931,OldTown,TA,TA,TA,Unf,BrkTil,Gd,Detchd,None,Unf
9,118000,5,1077,1,205,991,1077,1,5,1939,BrkSide,TA,TA,TA,RFn,BrkTil,Ex,Attchd,None,GLQ
10,129500,5,1040,1,384,1040,1040,1,5,1965,Sawyer,TA,TA,TA,Unf,CBlock,Ex,Detchd,None,Rec
11,345000,9,2324,3,736,1175,1182,3,11,2005,NridgHt,Ex,Ex,Ex,Fin,PConc,Ex,BuiltIn,Stone,GLQ
12,144000,5,912,1,352,912,912,1,4,1962,Sawyer,TA,TA,TA,Unf,CBlock,TA,Detchd,None,ALQ
13,279500,7,1494,3,840,1494,1494,2,7,2006,CollgCr,Gd,Gd,Gd,RFn,PConc,Ex,Attchd,Stone,Unf
14,157000,6,1253,1,352,1253,1253,1,5,1960,NAmes,TA,TA,TA,RFn,CBlock,TA,Attchd,BrkFace,BLQ
15,132000,7,854,2,576,832,854,1,5,1929,BrkSide,TA,TA,TA,Unf,BrkTil,Ex,Detchd,None,Unf
16,149000,6,1004,2,480,1004,1004,1,5,1970,NAmes,TA,TA,TA,Fin,CBlock,Ex,Attchd,BrkFace,ALQ
17,90000,4,1296,2,516,0,1296,2,6,1967,Sawyer,TA,TA,,Unf,Slab,TA,CarPort,None,
18,159000,5,1114,2,576,1114,1114,1,6,2004,SawyerW,TA,Gd,TA,Unf,PConc,Ex,Detchd,None,GLQ
19,139000,5,1339,1,294,1029,1339,1,6,1958,NAmes,TA,TA,TA,Unf,CBlock,TA,Attchd,None,LwQ
20,325300,8,2376,3,853,1158,1158,3,9,2005,NridgHt,Gd,Gd,Ex,RFn,PConc,Ex,BuiltIn,BrkFace,Unf
21,139400,7,1108,1,280,637,1108,1,6,1930,IDOTRR,TA,Gd,TA,Unf,PConc,Ex,Attchd,None,Unf
22,230000,8,1795,2,534,1777,1795,2,7,2002,CollgCr,Gd,Gd,Gd,RFn,PConc,Ex,Attchd,BrkFace,Unf
23,129900,5,1060,2,572,1040,1060,1,6,1976,MeadowV,TA,TA,Gd,Unf,PConc,TA,Attchd,None,GLQ
24,154000,5,1060,1,270,1060,1060,1,6,1968,Sawyer,TA,Gd,TA,Unf,CBlock,Ex,Attchd,None,Rec
25,256300,8,1600,3,890,1566,1600,2,7,2007,NridgHt,Gd,Gd,Gd,RFn,PConc,Ex,Attchd,Stone,Unf
26,134800,5,900,2,576,900,900,1,5,1951,NAmes,TA,Gd,TA,Unf,CBlock,TA,Detchd,None,BLQ
