"GarageType = Attchd","GarageType = Detchd","GarageType = BuiltIn","GarageType = CarPort","GarageType = Basment","GarageType = 2Types","GarageType = No_Garage","GarageFinish = RFn","GarageFinish = Unf","GarageFinish = Fin","GarageFinish = No_Garage","BsmtQual = Gd","BsmtQual = TA","BsmtQual = Ex","BsmtQual = Fa","BsmtQual = No Basement","BsmtFinType1 = GLQ","BsmtFinType1 = ALQ","BsmtFinType1 = Unf","BsmtFinType1 = Rec","BsmtFinType1 = BLQ","BsmtFinType1 = LwQ","BsmtFinType1 = No Basement","ExterQual = Gd","ExterQual = TA","ExterQual = Ex","ExterQual = Fa","KitchenQual = Gd","KitchenQual = TA","KitchenQual = Ex","KitchenQual = Fa","Foundation = PConc","Foundation = CBlock","Foundation = BrkTil","Foundation = Wood","Foundation = Slab","Foundation = Stone","HeatingQC = Ex","HeatingQC = Gd","HeatingQC = TA","HeatingQC = Fa","HeatingQC = Po","MasVnrType = BrkFace","MasVnrType = None","MasVnrType = Stone","MasVnrType = BrkCmn","Id","OverallQual","GrLivArea","GarageCars","GarageArea","TotalBsmtSF","1stFlrSF","FullBath","TotRmsAbvGrd","YearBuilt","Hood_X","Hood_Y","NhMedGrThan","Neighborhood","SalePrice"
"true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","true","false","false","false",0,7,1710,2,548,856,856,2,8,2003,42.015434,-93.6685882,150000,"CollgCr",208500
"true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","false","false","true","false","false",1,6,1262,2,460,1262,1262,2,6,1976,42.0379557,-93.6507657718236,200000,"Veenker",181500
"true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","true","false","false","false",2,7,1786,2,608,920,920,2,6,2001,42.015434,-93.6685882,150000,"CollgCr",223500
"false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false",3,7,1717,3,642,756,961,1,7,1915,42.0188970439511,-93.6486028528226,200000,"Crawfor",140000
"true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","true","false","false","false",4,8,2198,3,836,1145,1145,2,9,2000,42.0602355,-93.6498219510086,300000,"NoRidge",250000
"true","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","true","false","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","false","true","false","false","false","false","false","true","false","false",5,5,1362,2,480,796,796,1,5,1993,41.9911263483887,-93.6000115966085,150000,"Mitchel",143000
"true","false","false","false","false","false","false","true","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false",6,8,1694,2,636,1686,1694,2,7,2004,42.0513008,-93.6441328,200000,"Somerst",307000
"true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","false","false","false","true","false",7,7,2090,2,484,1107,1107,2,7,1973,42.0150957,-93.6979831,150000,"NWAmes",200000
"false","true","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","false","false",8,7,1774,2,468,952,1022,2,8,1931,42.0290131428571,-93.614185,100000,"OldTown",129900
"true","false","false","false","false","false","false","true","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","true","false","false","false","true","false","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","false",9,5,1077,1,205,991,1077,1,5,1939,42.0267703,-93.6170554,100000,"BrkSide",118000
